method, obj, restrictions,directeds,rejects,iter,changes,totalpur, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control,Run
2,70851,1,1,0,5,55,2,0.7113824892,1,137,16.204379562,1,139,1022.28145127,1277,10m
1-30m,72271.5,1,1,1,6,61,3,7.38842701912,1,137,13.7153284672,1,139,745.366895663,437,30m
1-30m,72822,4,4,3,9,73,11,3.73191285133,1,137,13.6058394161,0,139,660.064083298,1720,30m
1-30m,72185,0,1,3,7,63,4,3.53137803078,1,137,12.4598540146,0,139,514.632567626,98,30m
1-30m,72284,1,3,2,7,72,6,3.53134799004,1,137,12.4160583942,1,139,522.288857879,568,30m
1-30m,72745,3,1,2,5,72,6,3.5280828476,1,137,12.0729927007,1,139,510.362279948,1166,30m
1-30m,72241,5,0,0,5,68,5,3.48782396317,1,137,12.4744525547,1,139,612.074710176,1806,30m
1-30m,72328,5,0,0,4,60,5,3.4812130928,0,137,12.2627737226,0,139,523.989265779,1805,30m
1-30m,72355,4,3,2,0,71,9,3.40192890167,1,137,14.2627737226,1,139,688.768677544,1641,30m
1-30m,72297,4,3,1,9,72,8,3.39551997185,1,137,13.8102189781,1,139,738.993130099,1640,30m
1-30m,72259.5,5,0,0,6,59,5,3.39408111572,1,137,11.9197080292,1,139,523.486152855,1807,30m
1-30m,72336,3,3,1,0,70,7,3.38455414772,1,137,14.2627737226,1,139,749.062795191,1271,30m
1-30m,72360.5,3,3,0,9,60,6,3.35829806328,0,137,13.5401459854,1,139,641.264920567,1270,30m
1-30m,72598,0,4,5,8,78,9,3.35307192802,1,137,14.3576642336,0,139,758.760841563,299,30m
1-30m,72407.5,3,5,5,2,74,13,3.3472161293,1,137,14.6934306569,1,139,758.655324173,1433,30m
1-30m,72577,3,3,0,8,74,6,3.34688711166,1,137,13.1897810219,0,139,548.757835981,1269,30m
1-30m,72268,4,3,2,1,69,9,3.3411450386,1,137,12.1459854015,1,139,520.507943323,1642,30m
1-30m,73084.5,3,5,5,1,75,13,3.33840703964,1,137,12.3576642336,1,139,504.040253328,1432,30m
1-30m,72291.5,4,0,2,4,66,6,3.29042506218,1,137,11.4452554745,1,139,426.160583942,1465,30m
1-30m,72232,1,1,0,0,61,2,3.28826904297,1,137,10.197080292,1,139,265.129991413,421,30m
1-30m,72325,4,0,1,7,71,5,3.27312302589,1,137,13.0218978102,1,139,633.948046372,1458,30m
1-30m,72327.5,1,1,3,9,69,5,3.26339292526,1,137,12.6569343066,1,139,527.962322885,460,30m
1-30m,72638,2,4,5,5,75,11,3.26202201843,1,137,12.4817518248,1,139,518.398561614,1016,30m
1-30m,72341,5,3,3,2,73,11,3.23977017403,1,137,12.4744525547,1,139,521.839416058,2013,30m
1-30m,72202,5,3,3,3,72,11,3.23919892311,1,137,13.7226277372,1,139,651.893087162,2014,30m
1-30m,72202.5,4,0,5,8,72,9,3.23567295074,1,137,12.9489051095,1,139,637.916487763,1499,30m
1-30m,72268,3,1,3,8,68,7,3.2261068821,1,137,12.9562043796,0,139,624.939244311,1179,30m
1-30m,72453,5,4,4,2,76,13,3.22054600716,1,137,14.299270073,0,139,660.299484757,2083,30m
1-30m,72403,5,4,4,4,76,13,3.21811509132,1,137,13.1824817518,1,139,543.209102619,2085,30m
1-30m,72426.5,5,4,4,3,76,13,3.21785616875,1,137,12.7591240876,1,139,512.301846286,2084,30m
1-30m,72329.5,0,1,3,8,71,4,3.21163082123,1,137,13.0072992701,1,139,641.624946329,99,30m
1-30m,72322,1,0,5,2,63,6,3.21081209183,1,137,12.3868613139,1,139,534.7830614,413,30m
1-30m,72352.5,0,4,5,9,70,9,3.20928692818,1,137,12.5693430657,1,139,525.614641477,300,30m
1-30m,72364.5,0,3,0,3,66,3,3.20373487473,1,137,13.6204379562,1,139,657.266638042,184,30m
1-30m,72365.5,0,3,0,2,71,3,3.20308494568,1,137,12.598540146,1,139,525.300880206,183,30m
1-30m,72296,4,0,5,9,71,9,3.19148898125,1,137,12.9781021898,1,139,642.903928725,1500,30m
1-30m,72395.5,0,3,0,4,71,3,3.18930983543,1,137,12.1678832117,1,139,423.596607986,185,30m
1-30m,72256.5,3,5,5,0,70,13,3.18470788002,0,137,12.5766423358,1,139,550.304744526,1431,30m
1-30m,72300.5,1,1,3,7,72,5,3.18271303177,1,137,12,0,139,519.911764706,458,30m
1-30m,72444.5,3,5,5,3,74,13,3.18042898178,1,137,13.2554744526,1,139,552.044547016,1434,30m
1-30m,72250,4,1,0,0,67,5,3.16750192642,1,137,13,0,139,630.352941176,1501,30m
1-30m,72401,4,1,0,1,75,5,3.16573786736,1,137,13.2408759124,0,139,622.39008158,1502,30m
1-30m,72330.5,4,2,0,5,65,6,3.15925192833,1,137,14.3065693431,0,139,753.50826535,1566,30m
1-30m,72348,2,3,3,6,74,8,3.15924501419,1,137,14.1313868613,1,139,752.012022327,937,30m
1-30m,72394.5,1,1,4,0,72,6,3.15870404243,1,137,12.3722627737,1,139,524.205989695,461,30m
1-30m,72342.5,4,1,0,8,67,5,3.15380001068,1,137,11.8540145985,1,139,414.905002147,1509,30m
1-30m,72359.5,0,5,0,0,74,5,3.15314698219,1,137,13.0437956204,1,139,558.05689137,301,30m
1-30m,72374.5,3,1,1,8,64,5,3.15238189697,1,137,13.6131386861,1,139,655.518355517,1159,30m
1-30m,72463.5,0,5,0,7,66,5,3.15180897713,1,137,14.6423357664,1,139,695.525547445,308,30m
1-30m,72300.5,5,3,3,1,70,11,3.15168881416,1,137,12.7153284672,1,139,616.749248605,2012,30m
1-30m,72319.5,1,0,4,4,73,5,3.14706897736,1,137,13.598540146,1,139,732.830291971,405,30m
1-30m,72223,4,0,4,3,70,8,3.14235591888,1,137,11.8540145985,1,139,503.787355088,1484,30m
1-30m,72497.5,5,3,3,4,63,11,3.14169311523,1,137,14.6131386861,0,139,776.430120223,2015,30m
1-30m,72318.5,1,0,5,9,69,6,3.13796401024,1,137,12,0,139,502.455882353,420,30m
1-30m,72277.5,5,0,0,3,57,5,3.13657808304,1,137,13.1824817518,0,139,646.944396737,1804,30m
1-30m,72233,4,0,5,3,68,9,3.13544201851,0,137,10.897810219,0,139,381.915951052,1494,30m
1-30m,72361,4,0,2,9,64,6,3.13215112686,1,137,12.8686131387,0,139,527.085551739,1470,30m
1-30m,72242.5,1,1,0,1,64,2,3.13062810898,1,137,11.3941605839,1,139,414.431730356,422,30m
1-30m,72355,4,2,0,6,70,6,3.12900710106,1,137,12.299270073,0,139,513.593602404,1567,30m
1-30m,72336.5,4,0,3,9,68,7,3.128262043,1,137,13.2189781022,0,139,726.922284242,1480,30m
1-30m,72385.5,4,0,5,1,74,9,3.12755703926,1,137,11.4525547445,1,139,401.955452984,1492,30m
1-30m,72406,4,2,0,3,66,6,3.12614512444,1,137,12.7810218978,1,139,538.642872477,1564,30m
1-30m,72226.5,4,0,2,0,71,6,3.1256210804,0,137,13.0510948905,1,139,640.298840704,1461,30m
1-30m,72362.5,4,1,3,5,65,8,3.12177681923,1,137,12.7153284672,1,139,525.263954487,1536,30m
1-30m,72357.5,3,1,1,9,64,5,3.120221138,0,137,12.5620437956,1,139,620.203842851,1160,30m
1-30m,72413.5,2,1,1,2,72,4,3.11925387383,1,137,13.5547445255,0,139,662.689995706,793,30m
1-30m,72275.5,4,0,2,3,72,6,3.11914801598,1,137,11.9489051095,0,139,508.916487763,1464,30m
1-30m,72423.5,0,1,3,9,66,4,3.11903119087,1,137,14.4671532847,0,139,757.059574925,100,30m
1-30m,72226.5,2,1,3,6,72,6,3.11877512932,1,137,12.8832116788,0,139,628.530377845,817,30m
1-30m,72999,1,4,2,8,75,7,3.11835289001,1,137,13.1897810219,1,139,628.316659511,629,30m
1-30m,72428,4,5,0,2,73,9,3.11813187599,0,137,13.6788321168,1,139,557.910798626,1743,30m
1-30m,72343.5,4,0,5,2,73,9,3.11777496338,1,137,13.401459854,1,139,641.69793903,1493,30m
1-30m,72329.5,2,2,5,3,72,9,3.11752510071,1,137,13.7226277372,1,139,651.451910691,894,30m
1-30m,72403.5,4,2,0,7,71,6,3.11616587639,1,137,12.7591240876,1,139,534.875375698,1568,30m
1-30m,72333,3,0,4,7,61,7,3.11539888382,1,137,13.299270073,1,139,632.725955346,1128,30m
1-30m,72394.5,1,4,2,7,69,7,3.11501407623,1,137,13.6496350365,0,139,647.023400601,628,30m
1-30m,72326.5,4,0,4,4,68,8,3.11375689507,1,137,11.598540146,1,139,414.080291971,1485,30m
1-30m,72386,1,1,0,8,72,2,3.11226010323,1,137,13.6496350365,1,139,737.714577072,429,30m
1-30m,72411.5,3,0,5,9,70,8,3.11219501495,1,137,13.3868613139,1,139,657.194826106,1140,30m
1-30m,72389,1,0,5,8,69,6,3.11176109314,1,137,12.5255474453,1,139,520.971769,419,30m
