method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72347.0,0,0,0,0,85,0.682668924332,1,137,14.2481751825,1,139,734.232073851,1
2,70819.0,0,0,0,0,0,0.663731098175,1,137,15.5255474453,1,139,934.324710176,2
3,70819.0,0,0,0,0,0,0.638208150864,1,137,15.5255474453,1,139,934.324710176,3
1,72363.5,0,0,0,1,82,0.682952880859,1,137,12.0875912409,1,139,511.742271361,4
2,70819.0,0,0,0,1,0,0.643508911133,1,137,15.5255474453,1,139,934.324710176,5
3,70819.0,0,0,0,1,0,0.664906024933,1,137,15.5255474453,1,139,934.324710176,6
1,72301.5,0,0,0,2,70,0.659071922302,1,137,12.2262773723,0,139,501.808716187,7
2,70819.0,0,0,0,2,0,0.63933801651,1,137,15.5255474453,1,139,934.324710176,8
3,70819.0,0,0,0,2,0,0.635859012604,1,137,15.5255474453,1,139,934.324710176,9
1,72367.0,0,0,0,3,93,0.682467937469,1,137,13.0291970803,0,139,632.23443538,10
2,70819.0,0,0,0,3,0,0.686859846115,1,137,15.5255474453,1,139,934.324710176,11
3,70819.0,0,0,0,3,0,0.672791004181,1,137,15.5255474453,1,139,934.324710176,12
1,72312.0,0,0,0,4,77,0.656914949417,1,137,12.6131386861,1,139,620.7830614,13
2,70819.0,0,0,0,4,0,0.688476085663,1,137,15.5255474453,1,139,934.324710176,14
3,70819.0,0,0,0,4,0,0.664542913437,1,137,15.5255474453,1,139,934.324710176,15
1,72346.5,0,0,0,5,79,0.676676988602,1,137,12.9197080292,1,139,631.324388149,16
2,70819.0,0,0,0,5,0,0.636574983597,1,137,15.5255474453,1,139,934.324710176,17
3,70819.0,0,0,0,5,0,0.659034967422,1,137,15.5255474453,1,139,934.324710176,18
1,72341.0,0,0,0,6,83,0.657323122025,1,137,12.6934306569,1,139,621.228853585,19
2,70819.0,0,0,0,6,0,0.640542030334,1,137,15.5255474453,1,139,934.324710176,20
3,70819.0,0,0,0,6,0,0.635670900345,1,137,15.5255474453,1,139,934.324710176,21
1,72300.5,0,0,0,7,77,0.681866884232,1,137,12.9270072993,1,139,640.421103478,22
2,70819.0,0,0,0,7,0,0.636231899261,1,137,15.5255474453,1,139,934.324710176,23
3,70819.0,0,0,0,7,0,0.662021875381,1,137,15.5255474453,1,139,934.324710176,24
1,72286.0,0,0,0,8,98,0.65646314621,1,137,13.4379562044,0,139,731.468548733,25
2,70819.0,0,0,0,8,0,0.639448881149,1,137,15.5255474453,1,139,934.324710176,26
3,70819.0,0,0,0,8,0,0.63592004776,1,137,15.5255474453,1,139,934.324710176,27
1,72359.0,0,0,0,9,74,0.679051160812,1,137,13.0875912409,1,139,643.418741949,28
2,70819.0,0,0,0,9,0,0.63930106163,1,137,15.5255474453,1,139,934.324710176,29
3,70819.0,0,0,0,9,0,0.664243936539,1,137,15.5255474453,1,139,934.324710176,30
1,72353.0,0,0,1,0,81,0.6554210186,1,137,12.0656934307,1,139,520.870652641,31
2,70821.0,0,0,1,0,52,0.626296043396,1,137,15.5474452555,1,139,932.86721769,32
3,70819.0,0,0,1,0,54,0.631858110428,1,137,15.2189781022,1,139,912.84875483,33
1,72354.0,0,0,1,1,77,0.672844171524,1,137,13.6058394161,1,139,726.372906827,34
2,70821.0,0,0,1,1,47,0.634281158447,1,137,15.5474452555,1,139,933.058394161,35
3,70819.0,0,0,1,1,56,0.665798187256,1,137,15.1386861314,1,139,913.53209532,36
1,72385.5,0,0,1,2,85,0.657339096069,1,137,13.1094890511,0,139,637.598218119,37
2,70819.0,0,0,1,2,58,0.628168821335,1,137,15.0948905109,1,139,914.130635466,38
