method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1,72285.0,0,0,0,0,66,0.673120975494,1,137,12.0802919708,0,139,508.103799914,1
2,70819.0,0,0,0,0,0,0.660531997681,1,137,15.5255474453,1,139,934.324710176,2
3,70819.0,0,0,0,0,0,0.638648986816,1,137,15.5255474453,1,139,934.324710176,3
1,72447.5,0,0,0,1,77,0.683414936066,1,137,11.9708029197,1,139,415.690317733,4
2,70819.0,0,0,0,1,0,0.636450052261,1,137,15.5255474453,1,139,934.324710176,5
3,70819.0,0,0,0,1,0,0.660748004913,1,137,15.5255474453,1,139,934.324710176,6
1,72409.0,0,0,0,2,64,0.655431032181,1,137,12.3722627737,1,139,521.42657793,7
2,70819.0,0,0,0,2,0,0.638459920883,1,137,15.5255474453,1,139,934.324710176,8
3,70819.0,0,0,0,2,0,0.635384082794,1,137,15.5255474453,1,139,934.324710176,9
1,72352.5,0,0,0,3,72,0.678596973419,1,137,12.7299270073,1,139,611.154465436,10
2,70819.0,0,0,0,3,0,0.638724088669,1,137,15.5255474453,1,139,934.324710176,11
3,70819.0,0,0,0,3,0,0.660943031311,1,137,15.5255474453,1,139,934.324710176,12
1,72299.5,0,0,0,4,65,0.655828952789,1,137,12.6569343066,1,139,635.49173465,13
2,70819.0,0,0,0,4,0,0.637778043747,1,137,15.5255474453,1,139,934.324710176,14
3,70819.0,0,0,0,4,0,0.642051935196,1,137,15.5255474453,1,139,934.324710176,15
1,72336.0,0,0,0,5,73,0.674347162247,1,137,12.1459854015,0,139,524.522649206,16
2,70819.0,0,0,0,5,0,0.637274026871,1,137,15.5255474453,1,139,934.324710176,17
3,70819.0,0,0,0,5,0,0.65965294838,1,137,15.5255474453,1,139,934.324710176,18
1,72237.0,0,0,0,6,76,0.656368017197,1,137,12.5255474453,1,139,602.192357235,19
2,70819.0,0,0,0,6,0,0.637039899826,1,137,15.5255474453,1,139,934.324710176,20
3,70819.0,0,0,0,6,0,0.635628938675,1,137,15.5255474453,1,139,934.324710176,21
1,72301.5,0,0,0,7,69,0.678390026093,1,137,14.3211678832,1,139,855.704916273,22
2,70819.0,0,0,0,7,0,0.63658118248,1,137,15.5255474453,1,139,934.324710176,23
3,70819.0,0,0,0,7,0,0.661102771759,1,137,15.5255474453,1,139,934.324710176,24
1,72252.0,0,0,0,8,71,0.656709194183,1,137,12.0145985401,1,139,505.176255904,25
2,70819.0,0,0,0,8,0,0.636193990707,1,137,15.5255474453,1,139,934.324710176,26
3,70819.0,0,0,0,8,0,0.631898880005,1,137,15.5255474453,1,139,934.324710176,27
1,72342.5,0,0,0,9,69,0.678369045258,1,137,13.3284671533,1,139,633.236904251,28
2,70819.0,0,0,0,9,0,0.634255170822,1,137,15.5255474453,1,139,934.324710176,29
3,70819.0,0,0,0,9,0,0.689774990082,1,137,15.5255474453,1,139,934.324710176,30
1,72348.0,0,0,1,0,76,0.657973051071,1,137,12.1459854015,1,139,513.007943323,31
2,70820.0,0,0,1,0,51,0.632021903992,1,137,15.1459854015,1,139,913.655002147,32
3,70821.0,0,0,1,0,46,0.647800207138,1,137,15.5474452555,1,139,933.264276514,33
