,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,15,32,2,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,6,,,61,18,32,3,28,14,13,21,4,36,3,44,36,10,5,17,36,20,7,3,34,43,8,9,2,12,47,9,12,4,28,1,36,1,9,5,21,1,17,5,7,13,11,23,36,11,6,17,16,17,14,1,1,16,22,1,14,41,22,3,1,36,12,1,1,19,11,15,24,8,1,38.5,16,23,8,36,36,9,1,17,1,36,1,2,36,36
1,14,33,3,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,7,,,60,19,33,59,29,15,14,22,5,36,4,45,36,11,6,18,36,21,8,4,33,42,9,10,5,13,46,10,13,5,29,2,36,2,10,6,22,6,18,6,8,14,12,24,36,12,7,18,15,18,15,2,2,17,22,2,15,42,23,4,2,36,13,2,2,18,12,16,25,9,2,38.5,15,24,9,36,36,10,2,18,2,36,2,53,36,36
2,13,34,4,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,8,,,59,20,34,60,30,16,15,23,6,36,5,46,36,12,7,19,36,22,9,5,32,41,10,11,15,14,45,11,14,6,30,3,36,3,11,7,23,13,19,7,9,15,13,25,36,13,8,19,14,19,16,3,3,18,22,3,16,43,24,5,3,36,14,3,3,17,13,17,26,10,3,38.5,14,25,10,36,36,11,3,19,3,36,3,53,36,36
3,53,57,46,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,28,,,58,26,7,61,21,30,4,24,43,36,49,42,36,70,59,20,36,23,10,63,4,30,41,20,3,36,1,37,15,65,10,70,36,66,70,10,27,49,69,26,63,11,6,33,36,4,4,14,49,70,22,45,60,66,24,66,68,44,54,54,50,36,27,25,51,35,65,18,62,44,60,38.5,28,26,62,36,36,8,58,70,63,36,31,4,36,36
4,17,2,5,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,26,,,57,21,3,69,3,31,20,4,36,36,1,2,36,19,60,21.5,36,18,11,6,36,13,3,43,62,20,12,29,16,3,1,46,36,39,6,46,1,5,22,4,42,48,7,32,36,41,5,1,3,20,23,4,62,14,13.5,28,32,45,28,1,12,36,6,26,32,8,43,19,32,26,37,38.5,31,30,24,36,36,22,59,22,14,36,32,15,36,36
5,25,1,1,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,,,,,,27,,,4,22,4,26,1,32,3,5,37,36,2,1,36,20,61,14,36,19,12,7,35,11,4,44,63,10,4,12,17,2,2,47,36,56,8,47,2,7,23,3,1,47,8,27,36,40,3,2,2,21,24,10,61,15,13.5,71,13,46,27,2,11,36,1,4,50,6,42,20,33,27,24,38.5,5,32,25,36,36,23,60,23,15,36,33,3,36,36
6,56,3,30,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,64,,,12,23,28,57,31,67,18,36,62,36,50,58,36,18,4,23.5,36,68,13,8,38,16,41,31,68,33,49,30,1,64,51,48,36,68,67,1,4,60,14,8,66,65,47,6,36,6,71,67,1,65,1,42,16,65,61.5,47,48,47,55,63,46,36,44,46,48,36,67,21,13,67,58,38.5,59,68,63,36,36,5,61,3,30,36,34,25,36,36
7,55,13,31,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,65,,,13,24,29,58,32,66,19,37,63,36,51,59,36,17,3,25.5,36,69,14,9,37,17,41,32,69,34,50,31,2,63,51,49,36,67,66,2,5,61,15,9,67,66,48,7,36,7,70,66,12,66,2,43.5,17,64,61.5,48,49,48,56,62,47,36,45,47,49,37,68,22,14,68,59,38.5,60,67,64,36,36,4,62,4,31,36,35,53,36,36
8,52,56,20,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,66,,,14,25,13,39,33,65,17,3,11,36,12,60,36,15,1,27.5,36,70,15,1,15,18,41,30,20,24,51,32,61,14.5,51,17,36,13,60,3,3,62,13,10,49,67,46,8,36,3,57,21,30,67,3,20,15,2,61.5,4,33,49,45,61,45,36,47,48,7,38,33,23,34,69,4,38.5,41,66,65,36,36,3,63,1,32,36,16,26,36,36
9,62,58,21,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,63,,,7,27,35,13,15,69,16,20,2,36,13,13,36,69,62,29.5,36,71,16,49,14,70,2,34,10,25,48,33,62,7,51,71,36,51,63,8,12,50,11,2,59,71,4,28,36,53,55,20,11,68,21,11,59,3,20,14,12,50,57,20,49,36,48,28,8,39,35,45,35,70,5,38.5,35,62,66,36,36,1,64,63,33,36,17,10,36,36
