method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1Lex,72670.5,0,0,0,0,33,0.295278072357,1,137,17.0948905109,1,139,978.071811936,1
1Lex,72712.0,0,0,0,1,32,0.303318023682,1,137,17.4671532847,1,139,978.456633748,2
1Lex,72680.0,0,0,0,2,36,0.28256893158,1,137,17.2335766423,1,139,980.959746672,3
1Lex,72754.0,0,0,0,3,33,0.281501054764,1,137,17.7591240876,1,139,984.757728639,4
1Lex,72723.5,0,0,0,4,31,0.282696962357,1,137,17.503649635,1,139,985.810648347,5
1Lex,72696.5,0,0,0,5,29,0.281363964081,1,137,17.2481751825,1,139,982.393838557,6
1Lex,72723.0,0,0,0,6,37,0.28204703331,1,137,17.4598540146,1,139,981.132567626,7
1Lex,72727.5,0,0,0,7,31,0.282238006592,1,137,17.4671532847,1,139,981.383104337,8
1Lex,72698.0,0,0,0,8,33,0.281924009323,1,137,17.2846715328,1,139,981.440425075,9
1Lex,72695.0,0,0,0,9,42,0.281830072403,1,137,17.3357664234,1,139,977.85702018,10
1Lex,72700.0,0,0,1,0,36,0.283116817474,1,137,17.2773722628,1,139,975.87838128,11
1Lex,72741.5,0,0,1,1,36,0.281152963638,1,137,17.5839416058,1,139,982.435916702,12
1Lex,72728.0,0,0,1,2,36,0.281852006912,1,137,17.503649635,1,139,982.134177759,13
1Lex,72752.0,0,0,1,3,51,0.281279087067,1,137,17.5109489051,1,139,965.737011593,14
1Lex,72725.0,0,0,1,4,46,0.283032178879,1,137,17.4671532847,1,139,984.706633748,15
1Lex,72772.0,0,0,1,5,37,0.282745838165,1,137,17.897810219,1,139,983.754186346,16
1Lex,72733.0,0,0,1,6,37,0.282794952393,1,137,17.6131386861,1,139,988.871296694,17
1Lex,72710.5,0,0,1,7,29,0.281852960587,1,137,17.4087591241,1,139,982.199334478,18
1Lex,72670.0,0,0,1,8,43,0.281770944595,1,137,17.3284671533,1,139,981.325139545,19
1Lex,72718.0,0,0,1,9,37,0.281888961792,1,137,17.4306569343,1,139,983.129347359,20
1Lex,72769.5,0,0,2,0,40,0.283111095428,1,137,17.8540145985,1,139,984.728531559,21
1Lex,72722.5,0,0,2,1,42,0.284213066101,1,137,17.5255474453,1,139,982.765886647,22
1Lex,72672.0,0,0,2,2,39,0.286586999893,1,137,17.4817518248,1,139,981.36914985,23
1Lex,72703.5,0,0,2,3,29,0.284572124481,1,137,17.2846715328,1,139,979.190425075,24
1Lex,72741.5,0,0,2,4,44,0.283609867096,1,137,17.7518248175,1,139,989.937956204,25
1Lex,72718.5,0,0,2,5,35,0.291072845459,1,137,17.4233576642,1,139,983.922391584,26
1Lex,72720.0,0,0,2,6,44,0.290906906128,1,137,17.6131386861,1,139,983.5330614,27
1Lex,72723.0,0,0,2,7,41,0.292242050171,1,137,17.503649635,1,139,977.193001288,28
1Lex,72703.5,0,0,2,8,38,0.289170026779,1,137,17.2189781022,1,139,981.392872477,29
1Lex,72714.0,0,0,2,9,36,0.281733989716,1,137,17.4817518248,1,139,982.413267497,30
1Lex,72711.5,0,0,3,0,52,0.283609867096,1,137,17.401459854,1,139,978.1391155,31
1Lex,72715.5,0,0,3,1,37,0.282685041428,1,137,17.3357664234,1,139,976.842314298,32
1Lex,72723.5,0,0,3,2,37,0.284044027328,1,137,17.4744525547,1,139,982.045298411,33
1Lex,72705.5,0,0,3,3,44,0.28938794136,1,137,17.3941605839,1,139,982.108200945,34
1Lex,72701.0,0,0,3,4,40,0.312747955322,1,137,17.3941605839,1,139,980.858200945,35
1Lex,72794.0,0,0,3,5,43,0.288022041321,1,137,17.6642335766,1,139,982.577608416,36
1Lex,72718.5,0,0,3,6,47,0.289510965347,1,137,17.5693430657,1,139,977.555817948,37
1Lex,72749.0,0,0,3,7,43,0.28926897049,1,137,17.4233576642,1,139,965.731215114,38
1Lex,72711.5,0,0,3,8,37,0.288985013962,1,137,17.3211678832,1,139,981.969622155,39
1Lex,72673.0,0,0,3,9,45,0.285439014435,1,137,17.3357664234,1,139,978.209961357,40
1Lex,72785.0,0,0,4,0,34,0.282773017883,1,137,17.5839416058,1,139,982.244740232,41
1Lex,72715.0,0,0,4,1,46,0.281925916672,1,137,17.496350365,1,139,977.487118935,42
1Lex,72697.0,0,0,4,2,50,0.282468080521,1,137,17.4671532847,1,139,985.53016316,43
1Lex,72710.0,0,0,4,3,37,0.289428949356,1,137,17.2846715328,1,139,981.41101331,44
1Lex,72599.5,0,0,4,4,54,0.290189027786,1,137,17.3357664234,1,139,984.562902533,45
1Lex,72684.0,0,0,4,5,47,0.289123058319,1,137,17.4306569343,1,139,976.879347359,46
1Lex,72787.0,0,0,4,6,49,0.285918951035,1,137,17.897810219,1,139,979.254186346,47
1Lex,72701.5,0,0,4,7,37,0.282333135605,1,137,17.4890510949,1,139,987.898776299,48
1Lex,72695.0,0,0,4,8,63,0.281954050064,1,137,17.598540146,1,139,974.109703736,49
1Lex,72598.5,0,0,4,9,46,0.282141208649,1,137,17.3941605839,1,139,984.064083298,50
1Lex,72707.5,0,0,5,0,36,0.282731056213,1,137,17.3138686131,1,139,982.437526836,51
1Lex,72638.0,0,0,5,1,48,0.28196310997,1,137,17.2773722628,1,139,972.613675397,52
1Lex,72719.0,0,0,5,2,34,0.283761024475,1,137,17.5255474453,1,139,977.310004294,53
1Lex,72711.0,0,0,5,3,47,0.282796144485,1,137,17.8686131387,1,139,982.012022327,54
1Lex,72756.5,0,0,5,4,54,0.28169298172,1,137,17.4744525547,1,139,970.001180764,55
1Lex,72678.0,0,0,5,5,53,0.281999826431,1,137,17.2116788321,1,139,982.697509661,56
1Lex,72689.5,0,0,5,6,48,0.282991886139,1,137,17.1167883212,1,139,976.559789609,57
1Lex,72797.0,0,0,5,7,59,0.283819913864,1,137,17.9051094891,1,139,969.748282525,58
1Lex,72712.0,0,0,5,8,46,0.283569097519,1,137,17.5182481752,1,139,978.030914556,59
1Lex,72737.0,0,0,5,9,44,0.282747983932,1,137,17.7518248175,1,139,979.040897381,60
1Lex,72683.0,0,1,0,0,56,0.282605886459,1,137,17.8686131387,1,139,988.232610562,61
1Lex,72766.0,0,1,0,1,42,0.281610965729,1,137,17.8540145985,1,139,979.199119794,62
1Lex,72677.5,0,1,0,2,37,0.280709981918,1,137,17.2554744526,1,139,974.456311722,63
1Lex,72772.0,0,1,0,3,46,0.28174996376,1,137,17.8175182482,1,139,997.488514384,64
1Lex,72747.5,0,1,0,4,33,0.28293299675,1,137,17.6934306569,1,139,977.993559468,65
1Lex,72684.0,0,1,0,5,50,0.280833005905,1,137,17.802919708,1,139,980.218226707,66
1Lex,72710.0,0,1,0,6,29,0.284963846207,1,137,17.4452554745,1,139,984.145878059,67
1Lex,73091.5,0,1,0,7,44,0.281141996384,1,137,17.8540145985,1,139,983.007943323,68
1Lex,72720.0,0,1,0,8,48,0.283334970474,1,137,17.5255474453,1,139,976.060004294,69
1Lex,72748.5,0,1,0,9,38,0.282361984253,1,137,17.8394160584,1,139,975.179905539,70
1Lex,72740.0,0,1,1,0,39,0.280771970749,1,137,17.6788321168,1,139,991.028445685,71
1Lex,72720.0,0,1,1,1,31,0.28097486496,1,137,17.5182481752,1,139,984.972091026,72
1Lex,72756.0,0,1,1,2,36,0.282180070877,1,137,17.795620438,1,139,996.046157149,73
1Lex,72775.0,0,1,1,3,46,0.281208992004,1,137,17.6861313869,1,139,978.069879777,74
1Lex,72768.5,0,1,1,4,51,0.280823945999,1,137,17.4379562044,1,139,975.57148991,75
1Lex,72608.0,0,1,1,5,43,0.28241610527,1,137,17.6277372263,1,139,987.058930872,76
1Lex,72738.0,0,1,1,6,38,0.281264066696,1,137,17.4525547445,1,139,987.234864749,77
1Lex,72753.0,0,1,1,7,49,0.280637025833,1,137,17.9781021898,1,139,988.477458137,78
1Lex,72669.5,0,1,1,8,35,0.281443119049,1,137,17.7810218978,1,139,981.789931301,79
1Lex,72774.0,0,1,1,9,42,0.280611991882,1,137,17.7226277372,1,139,987.054851868,80
1Lex,72744.5,0,1,2,0,46,0.281615972519,1,137,17.5328467153,1,139,986.206633748,81
1Lex,72724.0,0,1,2,1,39,0.282691001892,1,137,17.4233576642,1,139,984.319450408,82
1Lex,72742.0,0,1,2,2,30,0.282080888748,1,137,17.6131386861,1,139,979.518355517,83
1Lex,72695.0,0,1,2,3,53,0.281275033951,1,137,17.5620437956,1,139,974.909725204,84
1Lex,72716.5,0,1,2,4,40,0.279793977737,1,137,17.5328467153,1,139,974.015457278,85
1Lex,72706.5,0,1,2,5,50,0.280372858047,1,137,17.6642335766,1,139,980.798196651,86
1Lex,72778.0,0,1,2,6,53,0.282796859741,1,137,17.9708029197,1,139,979.499141262,87
1Lex,72709.0,0,1,2,7,49,0.28289103508,1,137,17.4379562044,1,139,976.01266638,88
1Lex,72781.0,0,1,2,8,52,0.281249046326,1,137,17.7226277372,1,139,969.907793044,89
1Lex,72734.0,0,1,2,9,52,0.281001091003,1,137,17.7080291971,1,139,984.590596823,90
1Lex,72773.0,0,1,3,0,36,0.28163599968,1,137,17.4452554745,1,139,980.234113353,91
1Lex,72721.0,0,1,3,1,59,0.280551195145,1,137,17.4452554745,1,139,965.366466295,92
1Lex,72724.5,0,1,3,2,54,0.282080888748,1,137,17.6715328467,1,139,984.501610133,93
1Lex,72746.5,0,1,3,3,30,0.282150030136,1,137,17.6934306569,1,139,990.743559468,94
1Lex,72831.0,0,1,3,4,41,0.281044960022,1,137,17.7153284672,1,139,981.116895663,95
1Lex,72756.5,0,1,3,5,54,0.279577970505,1,137,16.6642335766,1,139,865.548196651,96
1Lex,72737.0,0,1,3,6,36,0.280544996262,1,137,17.5912408759,1,139,985.081687419,97
1Lex,72759.0,0,1,3,7,38,0.28130197525,1,137,17.802919708,1,139,982.659403177,98
1Lex,72748.5,0,1,3,8,40,0.281816005707,1,137,17.6934306569,1,139,988.890618291,99
1Lex,72719.5,0,1,3,9,40,0.282972812653,1,137,17.4452554745,1,139,986.307642765,100
1Lex,72716.0,0,1,4,0,47,0.281674146652,1,137,17.401459854,1,139,981.183233147,101
