Type,MOP,EFMP,MACP,Dwell,YG
Broadening,P,No,,25,2005
Broadening,C,NO,,29,2005
Broadening,M,NO,,37,2005
Broadening,C,NO,,0,2003
Broadening,C,NO,,0,2001
Broadening,P,NO,,0,2000
Broadening,M,NO,,0,2002
Broadening,C,NO,,0,2002
Broadening,P,NO,YES,0,2001
Broadening,B,NO,,0,2002
Broadening,P,NO,,0,2001
Broadening,C,NO,,0,2000
Broadening,A,NO,,0,2001
Broadening,C,NO,,0,2000
Broadening,C,NO,,0,2001
Broadening,C,NO,,0,1998
Broadening,B,NO,,5,2002
Broadening,P,NO,,5,2002
Broadening,C,NO,,8,2001
Broadening,C,NO,,10,2002
Broadening,P,Yes,,10,2000
Broadening,C,Yes,,11,2000
Broadening,C,NO,,13,2002
Broadening,P,YES,,14,2000
Broadening,C,NO,YES,17,2001
Broadening,A,NO,,17,2001
Broadening,P,NO,,17,2002
Broadening,P,YES,,18,2001
Broadening,C,NO,,21,2002
Broadening,P,NO,,22,1999
Broadening,A,YES,,22,2003
Broadening,P,NO,,22,2001
Broadening,C,NO,,27,2001
Broadening,C,NO,,27,2001
Broadening,M,NO,,32,2001
Broadening,M,NO,,33,2006
Broadening,C,NO,,38,2001
Broadening,A,YES,,38,2002
Broadening,A,NO,,41,2001
Broadening,M,NO,,43,2001
Broadening,A,YES,,45,2002
Broadening,M,NO,,45,2003
Broadening,A,NO,YES,47,2000
Broadening,P,NO,,47,2004
Broadening,C,NO,,47,2002
Broadening,C,NO,,53,2001
Broadening,C,NO,,54,2001
Broadening,M,NO,,54,2002
Broadening,M,NO,,56,2002
Broadening,C,NO,,57,2000
Broadening,M,Yes,,58,2002
Broadening,C,NO,,60,2003
Broadening,B,NO,,60,2001
Broadening,C,NO,,60,2001
Broadening,C,NO,,64,1999
Broadening,P,NO,,68,2002
Broadening,P,NO,YES,71,2002
Broadening,P,NO,,72,2001
Broadening,P,NO,YES,74,2005
Broadening,M,NO,,74,2002
Broadening,C,NO,,74,2001
Broadening,A,NO,,75,2001
Broadening,C,NO,,75,2002
Broadening,C,NO,,75,2002
Broadening,C,NO,,75,2001
Broadening,M,YES,,78,2001
Broadening,A,NO,,81,2002
Broadening,M,NO,,81,2002
Broadening,C,NO,,85,2001
Broadening,C,NO,,86,2002
Broadening,P,NO,,94,2001
Broadening,A,NO,,99,2005
Broadening,B,No,,,1999
Broadening,C,NO,,,2002
KD,C,NO,,0,2004
KD,C,NO,,0,2003
KD,C,NO,,0,2004
KD,C,NO,,0,2004
KD,P,NO,,0,2004
KD,A,NO,,0,2003
KD,C,NO,,0,2004
KD,M,NO,,0,2003
KD,B,NO,,0,2004
KD,P,NO,,0,2004
KD,B,NO,,1,2003
KD,C,NO,,3,2005
KD,C,NO,,3,2005
KD,C,NO,,6,2005
KD,A,NO,,7,2005
KD,C,NO,YES,13,2004
KD,M,NO,,17,2004
KD,A,NO,,17,2005
KD,M,NO,,21,2005
KD,P,NO,,21,2005
KD,A,NO,,24,2005
KD,A,YES,,25,2005
KD,C,NO,,25,2005
KD,M,NO,,26,2005
KD,P,NO,,26,2005
KD,A,NO,,26,2005
KD,C,NO,,27,2003
KD,P,NO,,28,2004
KD,C,NO,,28,2005
KD,P,NO,,29,2004
KD,C,NO,,31,2005
KD,A,NO,,32,2005
KD,C,NO,,34,2006
KD,A,NO,,34,2005
KD,A,NO,,36,2005
KD,P,NO,,37,2005
KD,C,NO,,37,2005
KD,A,NO,,38,2005
KD,C,NO,,38,2003
KD,C,NO,,38,2004
KD,P,NO,,40,2004
KD,C,NO,,42,2005
KD,P,NO,,44,2005
KD,M,NO,,44,2003
KD,A,NO,,44,2005
KD,C,NO,,45,2005
KD,M,NO,,45,2005
KD,C,NO,,45,2005
KD,C,NO,,45,2005
KD,C,NO,,48,2004
KD,C,NO,,50,2005
KD,M,NO,,54,2005
KD,C,NO,,55,2003
KD,P,NO,,56,2005
KD,C,YES,,56,2005
KD,P,NO,,57,2003
KD,C,NO,,57,2003
KD,P,NO,,58,2005
KD,B,NO,,58,2003
KD,M,NO,,58,2003
KD,P,NO,,61,2003
KD,C,NO,,61,2002
KD,A,NO,,61,2005
KD,C,NO,,62,2005
KD,C,NO,,63,2005
KD,P,YES,,64,2005
KD,M,YES,,64,2005
KD,P,NO,,64,2005
KD,C,NO,,68,2002
KD,C,NO,,68,2004
KD,P,NO,,68,2005
KD,C,NO,,69,2004
KD,C,NO,,70,2003
KD,C,NO,,70,2005
KD,C,NO,,74,2005
KD,P,NO,,74,2005
KD,B,NO,,75,2005
KD,P,NO,,81,2005
KD,C,NO,,90,2005
KD,C,NO,YES,91,2005
KD,M,NO,,94,2005
KD,A,NO,,96,2003
KD,C,YES,,98,2005
KD,M,NO,,98,2005
KD,C,NO,,,2003
KD,A,NO,,,2002
