0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
15,14,13,53,17,25,56,55,52,62,5,6,9,10,26,50,49,69,68,67,66,65,64,63,2,3,4,7,8,12,11,27,45,44,43,42,41,40,39,61,60,59,58,57,35,34,33,32,38,48,47,46,37,36,21,20,19,18,29,24,23,28,54,31,30,51,1,71,16,22,70,,,35,3,34,7,58,33,12,1,4,6,13,11,5,2,15,55,54,18,39,19,67,66,65,64,52,53,49,44,46,47,45,43,48,57,21,22,23,24,20,9,41,42,31,37,38,8,25,40,17,63,62,61,60,59,26,28,29,27,10,30,32,50,36,51,56,14
32,33,34,57,2,1,3,4,56,58,59,60,61,62,63,35,36,37,10,9,8,7,6,5,64,65,66,67,68,69,70,71,46,47,48,49,50,51,52,41,42,43,44,45,19,20,13,14,15,16,17,18,11,12,24,25,26,27,28,22,23,29,38,53,54,55,72,39,31,21,40,,,2,3,14,6,16,13,11,10,1,5,12,4,9,7,8,53,54,50,51,52,55,56,57,58,25,53,21,20,22,23,24,26,25,52,29,30,31,32,33,34,47,48,36,35,17,42,45,15,41,59,60,61,62,63,37,38,39,40,41,28,65,27,18,44,49,19
2,3,4,46,5,1,30,31,20,21,16,17,18,19,47,23,24,70,25,26,27,28,29,22,41,42,43,44,45,14,15,48,49,50,51,52,53,54,55,56,57,58,59,60,66,67,68,69,65,62,63,64,39,40,8,9,10,11,12,6,7,38,13,36,37,35,34,71,33,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,24,8,41,5,14,15,4,7,22,6,21,20,28,53,54,29,30,31,60,61,62,63,42,43,47,44,48,49,50,45,46,66,37,38,39,32,40,9,64,65,51,16,2,13,23,18,26,55,56,57,58,59,36,35,34,33,27,25,11,52,12,17,67,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,23,2,12,14,9,17,20,26,19,4,41,40,53,39,45,46,50,51,49,52,31,32,5,10,30,28,27,29,42,54,7,16,13,25,24,65,64,37,33,21,35,36,22,63,47,59,58,57,55,56,43,38,44,34,48,60,62,15,61,67,66,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,58,22,59,60,61,62,23,24,63,57,23,15,67,66,65,26,25,64,55,54,53,52,51,50,49,48,47,46,45,44,43,42,9,10,11,12,13,27,41,40,21,4,39,1,6,29,14,38,37,36,35,34,18,19,56,20,32,2,16,33,5,31,30,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,31,32,55,33,23,22,8,9,10,11,30,44,7,1,2,36,38,37,61,62,63,64,65,66,12,13,14,15,16,17,18,4,45,46,47,48,49,51,52,53,6,26,46,54,5,19,50,56,57,58,59,60,40,41,42,43,29,39,28,20,27,67,3,21
11,12,13,6,14,15,3,2,1,5,43,44,45,46,41,70,71,69,62,63,64,65,66,67,16,17,18,19,20,21,22,23,34,35,36,37,38,39,40,58,59,60,61,54,47,48,49,50,57,51,52,53,55,56,28,29,30,31,32,26,27,24,10,8,9,4,42,68,33,25,7,,,24,10,26,13,30,11,35,42,7,21,26,5,12,63,36,24,25,29,22,37,31,34,32,33,46,28,19,18,8,38,9,43,44,52,53,54,55,60,61,N/A,49,50,42,1,48,62,39,15,23,16,17,47,41,40,57,58,56,59,14,6,4,27,3,N/A,51,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,37,38,3,24,11,21,20,39,40,41,8,9,42,57,56,47,48,49,61,60,59,58,2,22,12,10,43,45,44,16,15,62,25,26,27,28,29,18,54,55,46,7,14,17,50,63,51,64,65,66,5,6,31,30,32,33,52,34,35,13,4,53,67,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,27,17,26,19,20,25,21,22,24,23,28,29,30,62,63,34,35,36,58,59,60,61,38,37,2,1,6,8,7,3,13,65,45,44,43,42,46,41,40,39,33,15,12,32,9,4,31,57,56,55,54,53,51,50,49,47,48,52,14,5,11,67,66,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,51,34,17,7,65,1,22,6,33,24,11,2,32,50,49,25,12,64,60,61,59,58,18,35,57,16,13,15,14,41,42,48,28,29,30,31,27,3,62,63,46,9,43,4,36,47,44,53,54,55,19,20,39,37,40,38,45,26,21,56,10,67,52,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,3,4,,,,,,,,,,,13,,,,,,,,,,,14,16,15,,,,10,11,12,,9,,,,,5,,,,,,,,,,,7,6,,15,,8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,9,6,69,28,7,60,61,62,63,64,65,2,5,30,31,66,29,67,35,36,37,38,51,52,53,54,55,56,57,58,59,32,24,25,26,22,23,4,49,50,21,33,34,3,19,39,20,40,41,42,43,44,13,12,14,15,16,11,17,45,46,47,48,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,36,9,48,29,37,7,3,34,35,31,30,13,4,62,63,5,33,8,57,59,58,56,49,50,17,15,19,20,21,16,22,65,38,39,40,42,41,14,66,67,47,25,11,10,27,28,6,53,54,55,51,52,43,44,46,45,32,61,2,18,24,60,64,26
