method, obj, restrictions,directeds,rejects,iter,changes, time
1,2137.5,0,0,0,0,0,0.239665031433
1,2137.5,0,0,0,1,0,0.228995084763
1,2137.5,0,0,0,2,0,0.229011774063
1,2137.5,0,0,0,3,0,0.229216098785
1,2137.5,0,0,0,4,0,0.228948116302
1,2137.5,0,0,0,5,0,0.229321956635
1,2137.5,0,0,0,6,0,0.229946136475
1,2137.5,0,0,0,7,0,0.22793006897
1,2137.5,0,0,0,8,0,0.227891921997
1,2137.5,0,0,0,9,0,0.231412887573
1,2137.5,0,0,0,10,0,0.230418920517
1,2137.5,0,0,0,11,0,0.229635953903
1,2137.5,0,0,0,12,0,0.228652000427
1,2137.5,0,0,0,13,0,0.227423906326
1,2137.5,0,0,0,14,0,0.230633974075
1,2137.5,0,0,0,15,0,0.229218959808
1,2137.5,0,0,0,16,0,0.228613853455
1,2137.5,0,0,0,17,0,0.230823993683
1,2137.5,0,0,0,18,0,0.228663921356
1,2137.5,0,0,0,19,0,0.229398965836
1,2137.5,0,0,0,20,0,0.229600906372
1,2137.5,0,0,0,21,0,0.229066848755
1,2137.5,0,0,0,22,0,0.229366064072
1,2137.5,0,0,0,23,0,0.230251073837
1,2137.5,0,0,0,24,0,0.228132963181
1,2137.5,0,0,0,25,0,0.226467132568
1,2137.5,0,0,0,26,0,0.229669094086
1,2137.5,0,0,0,27,0,0.231257915497
1,2137.5,0,0,0,28,0,0.231307029724
1,2137.5,0,0,0,29,0,0.229443073273
1,2136.5,0,0,1,0,2,0.229207038879
1,2119.0,0,0,1,1,10,0.231527090073
1,2132.0,0,0,1,2,10,0.231976985931
1,2216.0,0,0,1,3,9,0.229527950287
1,2170.0,0,0,1,4,6,0.229587078094
1,2137.0,0,0,1,5,9,0.254086017609
1,2141.5,0,0,1,6,12,0.261959075928
1,2137.5,0,0,1,7,2,0.356940031052
1,2175.0,0,0,1,8,5,0.248059034348
1,2151.5,0,0,1,9,6,0.240877866745
1,2137.5,0,0,1,10,2,0.239020109177
1,2139.5,0,0,1,11,3,0.229157924652
1,2211.0,0,0,1,12,13,0.228529930115
1,2137.5,0,0,1,13,5,0.229130029678
1,2151.0,0,0,1,14,5,0.232901096344
1,2151.0,0,0,1,15,5,0.229488134384
1,2137.5,0,0,1,16,2,0.230311155319
1,2137.5,0,0,1,17,3,0.228888988495
1,2144.5,0,0,1,18,2,0.229676961899
1,2186.5,0,0,1,19,5,0.236011981964
1,2122.5,0,0,1,20,5,0.23726606369
1,2137.5,0,0,1,21,2,0.229969024658
1,2137.5,0,0,1,22,2,0.234007835388
1,2111.0,0,0,1,23,11,0.231268882751
1,2139.5,0,0,1,24,2,0.229844093323
1,2137.5,0,0,1,25,2,0.229641199112
1,2137.5,0,0,1,26,2,0.231693983078
1,2135.5,0,0,1,27,3,0.230020999908
1,2189.5,0,0,1,28,5,0.229948997498
1,2123.0,0,0,1,29,7,0.231986045837
1,2142.5,0,0,2,0,14,0.229170799255
1,2122.5,0,0,2,1,5,0.230991125107
1,2128.5,0,0,2,2,4,0.229509115219
1,2149.5,0,0,2,3,4,0.230215072632
1,2143.5,0,0,2,4,6,0.229827165604
1,2137.0,0,0,2,5,13,0.230842828751
1,2188.0,0,0,2,6,12,0.233735084534
1,2142.0,0,0,2,7,14,0.229212999344
1,2142.5,0,0,2,8,4,0.228575944901
1,2168.0,0,0,2,9,12,0.228877067566
1,2162.0,0,0,2,10,14,0.232284069061
1,2122.5,0,0,2,11,6,0.230010032654
1,2141.5,0,0,2,12,4,0.230406045914
1,2175.0,0,0,2,13,5,0.228716850281
1,2191.5,0,0,2,14,16,0.23320889473
1,2153.0,0,0,2,15,15,0.23179101944
1,2143.0,0,0,2,16,12,0.229325056076
1,2137.5,0,0,2,17,5,0.231793165207
1,2139.5,0,0,2,18,2,0.229084014893
1,2151.0,0,0,2,19,12,0.228878974915
1,2139.5,0,0,2,20,4,0.234930038452
1,2148.5,0,0,2,21,4,0.231584787369
1,2171.5,0,0,2,22,6,0.233856916428
1,2173.0,0,0,2,23,12,0.229951143265
1,2130.5,0,0,2,24,7,0.230446100235
1,2122.5,0,0,2,25,7,0.231594085693
1,2150.5,0,0,2,26,8,0.228787183762
1,2150.5,0,0,2,27,10,0.230513095856
1,2139.5,0,0,2,28,4,0.234148025513
1,2160.0,0,0,2,29,13,0.23006105423
1,2138.5,0,0,3,0,7,0.228533029556
1,2151.0,0,0,3,1,7,0.229085922241
1,2138.0,0,0,3,2,9,0.229393959045
1,2147.0,0,0,3,3,13,0.229275941849
1,2129.0,0,0,3,4,15,0.230208873749
1,2143.0,0,0,3,5,13,0.230217933655
1,2139.5,0,0,3,6,4,0.234525918961
1,2137.0,0,0,3,7,15,0.229207038879
1,2134.5,0,0,3,8,6,0.231122016907
1,2172.5,0,0,3,9,16,0.275562047958
1,2146.0,0,0,3,10,8,0.242248058319
1,2178.0,0,0,3,11,15,0.233113050461
1,2138.0,0,0,3,12,16,0.234646081924
1,2158.0,0,0,3,13,6,0.228571891785
1,2178.0,0,0,3,14,10,0.230815887451
1,2153.0,0,0,3,15,14,0.229138851166
1,2149.0,0,0,3,16,15,0.231226921082
1,2140.0,0,0,3,17,10,0.231863975525
1,2126.5,0,0,3,18,10,0.229532003403
1,2092.0,0,0,3,19,13,0.23046207428
1,2188.0,0,0,3,20,7,0.257125139236
1,2162.0,0,0,3,21,7,0.230495929718
1,2175.0,0,0,3,22,14,0.237642049789
1,2156.5,0,0,3,23,16,0.232917785645
1,2129.0,0,0,3,24,13,0.228761196136
1,2146.5,0,0,3,25,12,0.231855154037
1,2122.5,0,0,3,26,15,0.285456895828
1,2183.0,0,0,3,27,7,0.2358481884
1,2175.0,0,0,3,28,11,0.227895975113
1,2140.5,0,0,3,29,13,0.22825884819
1,2135.5,0,0,4,0,7,0.247083187103
1,2187.5,0,0,4,1,17,0.228205919266
1,2103.5,0,0,4,2,8,0.229573965073
1,2159.0,0,0,4,3,21,0.228099822998
1,2154.0,0,0,4,4,11,0.237395048141
1,2139.5,0,0,4,5,10,0.229838132858
1,2148.0,0,0,4,6,13,0.226196050644
1,2151.0,0,0,4,7,16,0.226711034775
1,2131.5,0,0,4,8,22,0.226686000824
1,2078.0,0,0,4,9,14,0.227717876434
1,2126.0,0,0,4,10,25,0.228524923325
1,2123.0,0,0,4,11,17,0.227490901947
1,2138.0,0,0,4,12,19,0.226001024246
1,2138.0,0,0,4,13,10,0.227051019669
1,2127.5,0,0,4,14,8,0.22678399086
1,2171.5,0,0,4,15,12,0.228125095367
1,2111.5,0,0,4,16,6,0.226936101913
1,2132.5,0,0,4,17,11,0.227813005447
1,2198.5,0,0,4,18,17,0.227156162262
1,2137.0,0,0,4,19,11,0.226853132248
1,2171.0,0,0,4,20,10,0.227748155594
1,2163.0,0,0,4,21,15,0.227046966553
1,2148.0,0,0,4,22,15,0.226739168167
1,2176.0,0,0,4,23,29,0.230232000351
1,2132.0,0,0,4,24,13,0.226206064224
1,2126.5,0,0,4,25,18,0.226016998291
1,2192.0,0,0,4,26,11,0.227244138718
1,2184.0,0,0,4,27,8,0.228657960892
1,2104.0,0,0,4,28,14,0.226876020432
1,2182.0,0,0,4,29,20,0.228689908981
1,2201.0,0,0,5,0,21,0.226433038712
1,2163.5,0,0,5,1,11,0.22714304924
1,2214.5,0,0,5,2,15,0.227623939514
1,2148.5,0,0,5,3,21,0.226819992065
1,2143.5,0,0,5,4,15,0.228600978851
1,2182.0,0,0,5,5,17,0.228221893311
1,2110.0,0,0,5,6,19,0.228121042252
1,2149.5,0,0,5,7,15,0.22634100914
1,2163.5,0,0,5,8,22,0.226183176041
1,2125.5,0,0,5,9,19,0.226547002792
1,2144.0,0,0,5,10,13,0.227452039719
1,2143.0,0,0,5,11,11,0.228324174881
1,2189.5,0,0,5,12,11,0.226192951202
1,2174.5,0,0,5,13,14,0.227415800095
1,2120.0,0,0,5,14,10,0.226360082626
1,2164.5,0,0,5,15,20,0.227066993713
1,2211.5,0,0,5,16,11,0.227624177933
1,2141.0,0,0,5,17,23,0.22745013237
1,2152.0,0,0,5,18,18,0.225462913513
1,2172.0,0,0,5,19,26,0.227171182632
1,2242.0,0,0,5,20,22,0.226865053177
1,2157.5,0,0,5,21,17,0.226402044296
1,2215.5,0,0,5,22,25,0.227353096008
1,2110.0,0,0,5,23,25,0.228457927704
1,2183.5,0,0,5,24,17,0.228517055511
1,2184.0,0,0,5,25,20,0.226246833801
1,2129.5,0,0,5,26,28,0.227567911148
1,2161.5,0,0,5,27,24,0.2264149189
1,2146.0,0,0,5,28,22,0.227355957031
